0,1,2
0.0,-90,0.0
0.001,-90,8.899185670257604e-08
0.002,-90,9.839663351552666e-07
0.003,-90,3.485550187082611e-06
0.004,-90,7.80401381518764e-06
0.005,-90,1.366300381818511e-05
0.006,-90,2.056215369451733e-05
0.007,-90,2.797429632232084e-05
0.008,-90,3.5450175175662504e-05
0.009,-90,4.265570484649642e-05
0.01,-90,4.937092187796264e-05
0.011,-90,5.547163181020219e-05
0.012,-90,6.090616150513488e-05
0.013,-90,6.567345791556115e-05
0.014,-90,6.980503592562409e-05
0.015,-90,7.335127957117893e-05
0.016,-90,7.637167670371579e-05
0.017,-90,7.892823979433516e-05
0.018,-90,8.108133656322102e-05
0.019,-90,8.288725306206938e-05
0.02,-90,8.439694931905357e-05
0.021,-90,8.565560140820052e-05
0.022,-90,8.670263712353629e-05
0.023,-90,8.757206143781665e-05
0.024,-90,8.829293446070367e-05
0.025,-90,8.888991258524879e-05
0.026,-90,8.938379710071915e-05
0.027,-90,8.979205745406617e-05
0.028,-90,9.0129311553583e-05
0.029,-90,9.040775531756002e-05
0.03,-90,9.063753976899693e-05
0.031,-90,9.082709757936321e-05
0.032,-90,9.098342292394771e-05
0.033,-90,9.111230941776951e-05
0.034,-90,9.121855115400741e-05
0.035,-90,9.130611173283103e-05
0.036,-90,9.137826582154291e-05
0.037,-90,9.143771733833527e-05
0.038,-90,9.148669787071897e-05
0.039,-90,9.152704846677526e-05
0.04,-90,9.156028749556743e-05
0.041,-90,9.15876668734527e-05
0.042,-90,9.161021859958578e-05
0.043,-90,9.162879323622312e-05
0.044,-90,9.164409170475304e-05
0.045,-90,9.16566915427182e-05
0.046,-90,9.1667068576034e-05
0.047,-90,9.167561479971409e-05
0.048,-90,9.168265312550074e-05
0.049,-90,9.168844954206081e-05
0.05,-90,9.169322313945246e-05
0.051,-90,9.169715437143794e-05
0.052,-90,9.170039186436968e-05
0.053,-90,9.170305802762001e-05
0.054,-90,9.170525367602373e-05
0.055,-90,9.170706183799411e-05
0.056,-90,9.170855089255222e-05
0.057,-90,9.170977715338346e-05
0.058,-90,9.171078699729496e-05
0.059,-90,9.171161861733362e-05
0.06,-90,9.171230346670668e-05
0.061,-90,9.171286744800662e-05
0.062,-90,9.171333189264589e-05
0.063,-90,9.171371436749546e-05
0.064,-90,9.171402933920311e-05
0.065,-90,9.171428872129534e-05
0.066,-90,9.171450232474046e-05
0.067,-90,9.171467822900507e-05
0.068,-90,9.171482308763136e-05
0.069,-90,9.171494237988834e-05
0.07,-90,9.171504061801355e-05
0.071,-90,9.17151215178806e-05
0.072,-90,9.171518813954741e-05
0.073,-90,9.171524300299988e-05
0.074,-90,9.171528818346892e-05
0.075,-90,9.171532538992499e-05
0.076,-90,9.171535602971966e-05
0.077,-90,9.171538126181834e-05
0.078,-90,9.171540204063823e-05
0.079,-90,9.171541915214962e-05
0.08,-90,9.171543324360498e-05
0.081,-90,9.17154448480218e-05
0.082,-90,9.171545440434397e-05
0.083,-90,9.171546227404506e-05
0.084,-90,9.171546875480129e-05
0.085,-90,9.171547409175121e-05
0.086,-90,9.171547848676834e-05
0.087,-90,9.171548210609695e-05
0.088,-90,9.171548508664029e-05
0.089,-90,9.171548754113943e-05
0.09,-90,9.171548956243726e-05
0.091,-90,9.171549122699072e-05
0.092,-90,9.171549259776256e-05
0.093,-90,9.171549372660307e-05
0.094,-90,9.171549465621144e-05
0.095,-90,9.171549542175069e-05
0.096,-90,9.171549605217778e-05
0.097,-90,9.171549657133911e-05
0.098,-90,9.171549699887216e-05
0.099,-90,9.171549735094881e-05
0.0,-80,0.0
0.001,-80,1.5777852175364222e-06
0.002,-80,1.7464346990595447e-05
0.003,-80,6.192763987730547e-05
0.004,-80,0.00013878402985374974
0.005,-80,0.00024318902507103018
0.006,-80,0.0003662788052642408
0.007,-80,0.0004986755522594444
0.008,-80,0.0006323604450726644
0.009,-80,0.0007613494112502127
0.01,-80,0.0008816850382679329
0.011,-80,0.0009911169708921403
0.012,-80,0.0010886919170989874
0.013,-80,0.0011743652172702924
0.014,-80,0.0012486794174836559
0.015,-80,0.001312519529786863
0.016,-80,0.001366937985344177
0.017,-80,0.0014130362688872227
0.018,-80,0.0014518895693409843
0.019,-80,0.0014845024538050167
0.02,-80,0.0015117859669569638
0.021,-80,0.0015345489113041866
0.022,-80,0.001553498068912868
0.023,-80,0.0015692437065596976
0.024,-80,0.0015823078923950249
0.025,-80,0.00159313401003395
0.026,-80,0.0016020964583453915
